"Plot_Number","Observed_AGB","Scientific_Name","Genus_Local","Common_Name_Local"
1,103.33,"Avicennia marina","Avicennia (Api-api)","Grey mangrove"
2,21.89,"Bruguiera parviflora","Bruguiera (Lenggadai)","Lenggadai"
3,129,"Avicennia officinalis","Avicennia (Api-api)","—"
4,43,"Sonneratia alba","Sonneratia (Perepat)","Perepat"
5,105.95,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
6,94,"Bruguiera parviflora","Bruguiera (Lenggadai)","Lenggadai"
7,34,"Rhizophora mucronata","Rhizophora (Bakau)","Bakau Kurap"
8,154.05,"Rhizophora mucronata","Rhizophora (Bakau)","Bakau Kurap"
9,20.03,"Bruguiera parviflora","Bruguiera (Lenggadai)","Lenggadai"
10,110,"Rhizophora mucronata","Rhizophora (Bakau)","Bakau Kurap"
11,75.27,"Avicennia marina","Avicennia (Api-api)","Grey mangrove"
12,84,"Avicennia alba","Avicennia (Api-api)","Api-api putih"
13,210.14,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
14,101,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
15,111,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
16,45.84,"Sonneratia alba","Sonneratia (Perepat)","Perepat"
17,36.45,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
18,22,"Avicennia alba","Avicennia (Api-api)","Api-api putih"
19,30,"Sonneratia alba","Sonneratia (Perepat)","Perepat"
20,171.01,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
21,170.77,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
22,139,"Rhizophora mucronata","Rhizophora (Bakau)","Bakau Kurap"
23,84.78,"Avicennia marina","Avicennia (Api-api)","Grey mangrove"
24,62,"Bruguiera parviflora","Bruguiera (Lenggadai)","Lenggadai"
25,132,"Avicennia alba","Avicennia (Api-api)","Api-api putih"
26,67.97,"Sonneratia alba","Sonneratia (Perepat)","Perepat"
27,126,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
28,68,"Avicennia alba","Avicennia (Api-api)","Api-api putih"
29,47,"Bruguiera gymnorhiza","Bruguiera (Berus)","Berus (Orange mangrove)"
30,148,"Sonneratia alba","Sonneratia (Perepat)","Perepat"
31,78,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
32,67,"Rhizophora apiculata","Rhizophora (Bakau)","Bakau Minyak"
33,84,"Avicennia alba","Avicennia (Api-api)","Api-api putih"
34,111.72,"Avicennia officinalis","Avicennia (Api-api)","—"
35,77.15,"Avicennia marina","Avicennia (Api-api)","Grey mangrove"
36,102.5,"Bruguiera parviflora","Bruguiera (Lenggadai)","Lenggadai"
37,131,"Sonneratia alba","Sonneratia (Perepat)","Perepat"
38,39.32,"Avicennia marina","Avicennia (Api-api)","Grey mangrove"
39,105.85,"Rhizophora mucronata","Rhizophora (Bakau)","Bakau Kurap"
40,119.96,"Rhizophora mucronata","Rhizophora (Bakau)","Bakau Kurap"
41,65,"Bruguiera gymnorhiza","Bruguiera (Berus)","Berus (Orange mangrove)"
